CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
27,NCC,570,MBU,"AMERESCO SANTA CRUZ ENERGY, LLC - JOHNSON CANYON LANDFILL",31400 JOHNSON CANYON ROAD,GONZALES,93926,4931,MON,1.9,,,,MONTEREY BAY AIR RESOURCES DISTRICT,,,0.005348698
10,SJV,3115,SJU,AMERICAN AVENUE LANDFILL,18950 W AMERICAN AVE,KERMAN,,4953,FRE,5.03,,,,SAN JOAQUIN VALLEY APCD,,,.098152735318758805
34,SV,2433,SAC,AMPAC FINE CHEMICAL,AEROJET ROAD & HWY 50,RANCHO CORDOVA,95741,2869,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,7.4
20,SJV,6923,SJU,AMPERSAND CHOWCHILLA BIOMASS LLC,16457 AVENUE 24-1/2,CHOWCHILLA,93610,4911,MAD,123,4.68,0.16,0.09,SAN JOAQUIN VALLEY APCD,,,1.71059189
56,SCC,845,VEN,ANACAPA BERRY FARMS,4300 ETTING ROAD,OXNARD,93033,5148,VEN,0.03,,,,VENTURA COUNTY APCD,,,29.6
24,SJV,1166,SJU,ANDERSEN NUT COMPANY,3050 S HUNT RD,GUSTINE,95322,723,MER,5.38,,,,SAN JOAQUIN VALLEY APCD,,,153.9999992
51,SV,24014,FR,ARDENT MILLS LLC,1200 PUTMAN AVENUE,,95991,723,SUT,0,,,,FEATHER RIVER AQMD,,,0
15,SJV,3433,SJU,ARVIN SANITARY LANDFILL,5500 N WHEELER RIDGE RD,ARVIN,93203,4953,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.007152922
39,SJV,7250,SJU,AVANTI NUT COMPANY,9982 PEZZI RD,STOCKTON,95212,723,SJ,0,,,,SAN JOAQUIN VALLEY APCD,,,0
4,SV,111,BUT,BERBERIAN NUT COMPANY,6100 WILSON LANDING ROAD,CHICO,95973,2034,BUT,,,,,BUTTE COUNTY AQMD,,,1091
19,SC,20421,SC,BLUE DIAMOND INGLEWOOD ASPHALT CORP,441 W RAILROAD PL,INGLEWOOD,90302,1611,LA,,,,,SOUTH COAST AQMD,,,0.05303252
10,SJV,3865,SJU,"BOGHOSIAN RAISIN PACKING COMPANY, INC.",726 S 8TH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,3984,SJU,BOWMAN ASPHALT,4717 MERIDIAN AVE,BAKERSFIELD,93308,2951,KER,48.6,4.71,0.11,0.54,SAN JOAQUIN VALLEY APCD,,,0.02975707
37,SD,10705,SD,CA COMMERCIAL ASPHALT ENTERPRISES,9229 HARRIS PLANT RD,SAN DIEGO,92145,2951,SD,,,,,SAN DIEGO COUNTY APCD,,,0.092329114
24,SJV,1647,SJU,CALAVERAS MATERIALS INC.,12523 N HIGHWAY 59,MERCED,95348,2951,MER,5.96,,,,SAN JOAQUIN VALLEY APCD,,,0.027536049
10,SJV,216,SJU,CALIFORNIA AIR NATIONAL GUARD,5323 E MCKINLEY,FRESNO,93727,9711,FRE,4.17,,,,SAN JOAQUIN VALLEY APCD,,,1.9075257156199952
36,MD,169,MOJ,CALMAT - 20181 NAT'L TRAILS,20181 NATIONAL TRAILS HIGHWAY,ORO GRANDE,92368,2951,SBD,0.32,,,,MOJAVE DESERT AQMD,,,0.043212496
30,SC,107653,SC,CALMAT CO,1401 E WARNER AVE,SANTA ANA,92705,9999,ORA,,,,,SOUTH COAST AQMD,,,0.08662337
19,SC,107654,SC,CALMAT CO,16005  FOOTHILL BLVD,IRWINDALE,91706,3273,LA,,,,,SOUTH COAST AQMD,,,0.34192592
19,SC,107655,SC,CALMAT CO,2715 E WASHINGTON BLVD,LOS ANGELES,90023,2951,LA,,,,,SOUTH COAST AQMD,,,0.05878092
19,SC,107656,SC,CALMAT CO,11447  TUXFORD ST,SUN VALLEY,91352,2951,LA,,,,,SOUTH COAST AQMD,,,0.20294117
36,SC,108457,SC,CALMAT CO,2340 W HIGHLAND AVE,SAN BERNARDINO,92405,2951,SBD,,,,,SOUTH COAST AQMD,,,0.09030272
33,SC,108527,SC,CALMAT CO,1709  SHERBORN ST,CORONA,92879,3272,RIV,,,,,SOUTH COAST AQMD,,,13.47562999
56,SCC,25,VEN,CALMAT CO. DBA VULCAN MATERIALS COMPANY,6029 VINEYARD AVE.,OXNARD,93030,2951,VEN,,1.35,0.02,0.78,VENTURA COUNTY APCD,,,0.00846214
