"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","TS","HRA","CHINDEX","AHINDEX","DISN","CHAPIS","CERR_CODE","EMS","year","county","full_address","latitude","longitude"
"10","SJV","3865","SJU","BOGHOSIAN RAISIN PACKING COMPANY, INC.","726 S 8TH ST","FOWLER","93625","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2017","FRESNO","726 S 8TH ST, FOWLER, FRESNO, CA",36.6243185,-119.6762548
"36","MD","1400169","MOJ","CALMAT - 20181 NAT'L TRAILS","20181 NATIONAL TRAILS HIGHWAY","ORO GRANDE","92368","2951","SBD","1.01",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"0.02522849","2017","SAN BERNARDINO","20181 NATIONAL TRAILS HIGHWAY, ORO GRANDE, SAN BERNARDINO, CA",34.5959326,-117.334549
"10","SJV","317","SJU","CHOOLJIAN BROS PACKING CO","3192 S INDIANOLA","SANGER","93657","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3718.000047","2017","FRESNO","3192 S INDIANOLA, SANGER, FRESNO, CA",36.7213904,-119.5831314
"39","SJV","2395","SJU","DELTA PACKING CO. OF LODI,INC.","6021 E KETTLEMAN LANE","LODI","95240","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"7050.000191","2017","SAN JOAQUIN","6021 E KETTLEMAN LANE, LODI, SAN JOAQUIN, CA",38.1159094,-121.2424831
"12","NC","96","NCU","DG FAIRHAVEN POWER COMPANY","97 BAY STREET","SAMOA","95564","4911","HUM","9.82",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0.2048976","2017","HUMBOLDT","97 BAY STREET, SAMOA, HUMBOLDT, CA",40.8183358,-124.1856962
"39","SJV","285","SJU","DIAMOND FOODS, LLC","1050 S DIAMOND ST","STOCKTON","95201","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"959.9999785","2017","SAN JOAQUIN","1050 S DIAMOND ST, STOCKTON, SAN JOAQUIN, CA",37.9453226,-121.2558398
"56","SCC","507","VEN","DRISCOLL STRAWBERRY ASSOCIATES","3939 E HUENEME RD","OXNARD","93030","5148","VEN",NA,NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"510","2017","VENTURA","3939 E HUENEME RD, OXNARD, VENTURA, CA",34.147292,-119.1415054
"1","SF","591","BA","EAST BAY MUNICIPAL UTILITY DISTRICT","2020 WAKE AVENUE","OAKLAND","94607","4952","ALA",NA,"8","0.06",NA,"BAY AREA AQMD",NA,NA,"10.12091961","2017","ALAMEDA","2020 WAKE AVENUE, OAKLAND, ALAMEDA, CA",37.8249523,-122.2958661
"20","SJV","8250","SJU","EL DORADO ALMONDS LLC","21888 AVENUE 14","MADERA",NA,"723","MAD","0.88",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3000","2017","MADERA","21888 AVENUE 14, MADERA, MADERA, CA",36.9528289,-120.148451
"39","SJV","239","SJU","FELIX COSTA","13160 N WEST LN","LODI","95240","723","SJ","0.01",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"664.8799777","2017","SAN JOAQUIN","13160 N WEST LN, LODI, SAN JOAQUIN, CA",38.1009745,-121.2786765
